id,authors,title,venue_name,venue_vol,venue_date
ahlskog1994a,M. Ahlskog; J. Paloheimo; H. Stubb; P. Dyreklev; M. Fahlman,Inganas and M.R.,Andersson J Appl. Phys.,76,(1994).
ahlskog1994a,M. Ahlskog; J. Paloheimo; H. Stubb; P. Dyreklev; M. Fahlman; O. Inganas and M.R. Andersson,,J Appl. Phys.,76,(1994).
ahlskog1994a,M. Ahlskog; J. Paloheimo; H. Stubb; P. Dyreklev; M. Fahlman; O. Inganas and M.R. Andersson,,J Appl. Phys.,76,(1994).
ahlskog1994a,M. Ahlskog; J. Paloheimo; H. Stubb; P. Dyreklev; M. Fahlman; O. Inganas and M.R. Andersson,,J Appl. Phys.,76,(1994).
ahlskog1994a,M. Ahlskog; J. Paloheimo; H. Stubb; P. Dyreklev; M. Fahlman; O. Inganas and M.R. Andersson,,J Appl. Phys.,76,(1994).
ahlskog1994a,M. Ahlskog; J. Paloheimo; H. Stubb; P. Dyreklev; M. Fahlman; O. Inganas and M.R. Andersson,,J Appl. Phys.,76,(1994).
ahlskog1994a,M. Ahlskog; J. Paloheimo; H. Stubb; P. Dyreklev; M. Fahlman; O. Inganas and M.R. Andersson,,J Appl. Phys.,76,(1994).
ahlskog1994a,M. Ahlskog; J. Paloheimo; H. Stubb; P. Dyreklev; M. Fahlman; O. Inganas and M.R. Andersson,,Journal of Applied Physics,76,(1994).
asfahl1992a,C. Ray Asfahl.,Robots and Manufacturing Automation.,,,1992.
benford1993a,Steve Benford and Lennart E. Fahlen.,A spatial model of interaction in large virtual environments.,In Proceedings of ECSCW'93,,September 1993.
benford1994a,Benford; and Fahln,"Viewpoints, Actionpoints and Spatial Frames for Collaborative User Interfaces,",6th ERCIM workshop,,"(1994), June 1994,"
benford1995a,Benford; Bowers; Fahln; Greenhalgh; and Snowdon,"User Embodiment in Collaborative Virtual Environments,",in Proc. ACM Conference on Human Factors in Computing Systems (CHI95),,"May 7-11, 1995,"
benford1995a,Benford; Bowers; Fahlen; Greenhalgh; Snowdon,User Embodiment in Collaborative Virtual Environments.,In Proceedings of CHI95,,(1995).
benford1995a,Benford; Bowers; Fahlen; Greenhalgh; Snowdon,User Embodiment in Collaborative Virtual Environments.,In Proceedings of CHI95,242 249.,
