id,authors,title,venue_name,venue_vol,venue_date,blocking_key
ahlskog1994a,m. ahlskog; j. paloheimo; h. stubb; p. dyreklev; m. fahlman,inganas and m.r.,Andersson J Appl. Phys.,76,1994,I525M4221994
ahlskog1994a,m. ahlskog; j. paloheimo; h. stubb; p. dyreklev; m. fahlman; o. inganas and m.r. andersson,,J Appl. Phys.,76,1994,
ahlskog1994a,m. ahlskog; j. paloheimo; h. stubb; p. dyreklev; m. fahlman; o. inganas and m.r. andersson,,J Appl. Phys.,76,1994,
ahlskog1994a,m. ahlskog; j. paloheimo; h. stubb; p. dyreklev; m. fahlman; o. inganas and m.r. andersson,,J Appl. Phys.,76,1994,
ahlskog1994a,m. ahlskog; j. paloheimo; h. stubb; p. dyreklev; m. fahlman; o. inganas and m.r. andersson,,J Appl. Phys.,76,1994,
ahlskog1994a,m. ahlskog; j. paloheimo; h. stubb; p. dyreklev; m. fahlman; o. inganas and m.r. andersson,,J Appl. Phys.,76,1994,
ahlskog1994a,m. ahlskog; j. paloheimo; h. stubb; p. dyreklev; m. fahlman; o. inganas and m.r. andersson,,J Appl. Phys.,76,1994,
ahlskog1994a,m. ahlskog; j. paloheimo; h. stubb; p. dyreklev; m. fahlman; o. inganas and m.r. andersson,,Journal of Applied Physics,76,1994,
asfahl1992a,c. ray asfahl.,robots and manufacturing automation.,,,1992,R132C6211992
benford1993a,steve benford and lennart e. fahlen.,a spatial model of interaction in large virtual environments.,In Proceedings of ECSCW'93,,1993,A213S3111993
benford1994a,benford; and fahln,"viewpoints, actionpoints and spatial frames for collaborative user interfaces,",6th ERCIM workshop,,1994,V153B5161994
benford1995a,benford; bowers; fahln; greenhalgh; and snowdon,"user embodiment in collaborative virtual environments,",in Proc. ACM Conference on Human Factors in Computing Systems (CHI95),,1995,U265B5161995
benford1995a,benford; bowers; fahlen; greenhalgh; snowdon,user embodiment in collaborative virtual environments.,In Proceedings of CHI95,,1995,U265B5161995
benford1995a,benford; bowers; fahlen; greenhalgh; snowdon,user embodiment in collaborative virtual environments.,In Proceedings of CHI95,242 249.,,
benford1995b,steve benford; john bowers; lennart fahlen; chris greenhalg; john mariani; and tom rodden.,networked virtual realitty and cooperative work.,Presence,4(4),1995,N362S3111995
brown1992a,brown; d. f.; moura; h. and watt,"actress: an action semantics directed compiler generator,",`Proceedings of the International Workshop on Compiler Construction (CC-92)',,1992,A236B6531992
brown1992a,brown; d. f.; moura; h. and watt,"actress: an action semantics directed compiler generator,",`Proceedings of the International Workshop on Compiler Construction (CC-92)',,1992,A236B6531992
brown1992a,d. f. brown; h. moura; and d. a. watt. actress:,an action semantics directed compiler generator.,Proceedings of the 4th International Conference on Compiler Construction (CC'92),,1992,A523D1161992
buth1992a,b. buth; k.-h. buth; m. franzle; b. v. karger; y. lakhneche; h. langmaack; and m. muller-olm.,provably correct compiler development and implementation.,Compiler Construction,,1992,P611B1321992
buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992,P611B1331992
buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992,P611B1331992
buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992,P611B1331992
buth1992a,bettina buth; karl-heinz buth; martin franzle; burghard von karger; yassine lakhneche; hans langmaack; and markus muller-olm.,provably correct compiler development and implementation.,Compiler Construction number 641 in Lecture Notes in Computer Science,,1992,P611B3511992
carlson1993a,carlson; c.; l.e.fahln.; conklin,integrated cscw tools within a shared 3d virtual environment. hypertext: an introduction and survey.,In Computer Supported Cooperative Work: A Book of Readings.,,1993,I532C6421993
cramer1985a,cramer,a representation for the adaptive generation of simple sequential programs.,Proceedings of an International Conference on Genetic Algorithms and Their Applications,,1985,A616C6561985
daelemans1995a,daelemans; van den bosch; and weijters,"ig-tree: a variant of ibl. submitted. available from request to antal@cs.rulimburg.nl fahlman, (1990). the cascade-correlation learning architecture.",,,1995,I236D4551995
deb1989a,,an investigation of niche and species formation in genetic function op-timization.,Proceedings of the Third International Conference on Genetic Algorithms,,,
deb1989a,,an investigation of niche and species formation in genetic function optimization.,Proceedings of the Third International Conference on Genetic Algorithms,,1989,
deb1989a,,an investigation of niche and species formation in genetic function optimization.,Proceedings of the Third International Conference on Genetic Algorithms,,1989,
dempster1977a,dempster; laird; and rubin,maximum likelihood from incomplete data via the em algorithm.,Journal of the Royal Statistical Society B,39,1977,M255D5121977
dempster1977a,dempster; laird; and rubin,maximum likelihood from incomplete data via the em algorithm.,Journal of the Royal Statistical Society B,39,1977,M255D5121977
dill1997a,m. dill and m.,fahle limited translation invari-ance of human visual pattern recognition.,Perception and Psychophysics (in press).,,1997,F445M3451997
dill1997a,m. dill and m.,fahle limited translation invari-ance of human visual pattern recognition.,Perception and Psychophysics (in press).,,1997,F445M3451997
dill1997b,m. dill and m.,fahle the role of visual field position in pattern-discrimination learning.,Proceedings of the Royal Society London B (in press).,,1997,F436M3451997
