idx1,idx2,id_1,authors_1,title_1,venue_name_1,venue_vol_1,venue_date_1,blocking_key_1,id_2,authors_2,title_2,venue_name_2,venue_vol_2,venue_date_2,blocking_key_2
12,11,benford1995a,benford; bowers; fahlen; greenhalgh; snowdon,user embodiment in collaborative virtual environments.,In Proceedings of CHI95,,1995.0,U2B51995,benford1995a,benford; bowers; fahln; greenhalgh; and snowdon,"user embodiment in collaborative virtual environments,",in Proc. ACM Conference on Human Factors in Computing Systems (CHI95),,1995.0,U2B51995
16,15,brown1992a,brown; d. f.; moura; h. and watt,"actress: an action semantics directed compiler generator,",`Proceedings of the International Workshop on Compiler Construction (CC-92)',,1992.0,A2B61992,brown1992a,brown; d. f.; moura; h. and watt,"actress: an action semantics directed compiler generator,",`Proceedings of the International Workshop on Compiler Construction (CC-92)',,1992.0,A2B61992
19,18,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P6B11992,buth1992a,b. buth; k.-h. buth; m. franzle; b. v. karger; y. lakhneche; h. langmaack; and m. muller-olm.,provably correct compiler development and implementation.,Compiler Construction,,1992.0,P6B11992
20,18,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P6B11992,buth1992a,b. buth; k.-h. buth; m. franzle; b. v. karger; y. lakhneche; h. langmaack; and m. muller-olm.,provably correct compiler development and implementation.,Compiler Construction,,1992.0,P6B11992
20,19,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P6B11992,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P6B11992
21,18,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P6B11992,buth1992a,b. buth; k.-h. buth; m. franzle; b. v. karger; y. lakhneche; h. langmaack; and m. muller-olm.,provably correct compiler development and implementation.,Compiler Construction,,1992.0,P6B11992
21,19,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P6B11992,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P6B11992
21,20,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P6B11992,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P6B11992
30,29,dempster1977a,dempster; laird; and rubin,maximum likelihood from incomplete data via the em algorithm.,Journal of the Royal Statistical Society B,39,1977.0,M2D51977,dempster1977a,dempster; laird; and rubin,maximum likelihood from incomplete data via the em algorithm.,Journal of the Royal Statistical Society B,39,1977.0,M2D51977
32,31,dill1997a,m. dill and m.,fahle limited translation invari-ance of human visual pattern recognition.,Perception and Psychophysics (in press).,,1997.0,F4M31997,dill1997a,m. dill and m.,fahle limited translation invari-ance of human visual pattern recognition.,Perception and Psychophysics (in press).,,1997.0,F4M31997
33,31,dill1997b,m. dill and m.,fahle the role of visual field position in pattern-discrimination learning.,Proceedings of the Royal Society London B (in press).,,1997.0,F4M31997,dill1997a,m. dill and m.,fahle limited translation invari-ance of human visual pattern recognition.,Perception and Psychophysics (in press).,,1997.0,F4M31997
33,32,dill1997b,m. dill and m.,fahle the role of visual field position in pattern-discrimination learning.,Proceedings of the Royal Society London B (in press).,,1997.0,F4M31997,dill1997a,m. dill and m.,fahle limited translation invari-ance of human visual pattern recognition.,Perception and Psychophysics (in press).,,1997.0,F4M31997
34,31,dill1997b,m. dill and m.,fahle the role of visual field position in pattern-discrimination learning.,Proceedings of the Royal Society London B (in press).,,1997.0,F4M31997,dill1997a,m. dill and m.,fahle limited translation invari-ance of human visual pattern recognition.,Perception and Psychophysics (in press).,,1997.0,F4M31997
34,32,dill1997b,m. dill and m.,fahle the role of visual field position in pattern-discrimination learning.,Proceedings of the Royal Society London B (in press).,,1997.0,F4M31997,dill1997a,m. dill and m.,fahle limited translation invari-ance of human visual pattern recognition.,Perception and Psychophysics (in press).,,1997.0,F4M31997
34,33,dill1997b,m. dill and m.,fahle the role of visual field position in pattern-discrimination learning.,Proceedings of the Royal Society London B (in press).,,1997.0,F4M31997,dill1997b,m. dill and m.,fahle the role of visual field position in pattern-discrimination learning.,Proceedings of the Royal Society London B (in press).,,1997.0,F4M31997
