idx1,idx2,id_1,authors_1,title_1,venue_name_1,venue_vol_1,venue_date_1,blocking_key_1,id_2,authors_2,title_2,venue_name_2,venue_vol_2,venue_date_2,blocking_key_2,authors_sim,title_sim,venue_date_eq,match_predito,match_verdadeiro
12,11,benford1995a,benford; bowers; fahlen; greenhalgh; snowdon,user embodiment in collaborative virtual environments.,In Proceedings of CHI95,,1995.0,U265B5161995,benford1995a,benford; bowers; fahln; greenhalgh; and snowdon,"user embodiment in collaborative virtual environments,",in Proc. ACM Conference on Human Factors in Computing Systems (CHI95),,1995.0,U265B5161995,0.9505262921146148,0.9925925925925926,1,1,1
16,15,brown1992a,brown; d. f.; moura; h. and watt,"actress: an action semantics directed compiler generator,",`Proceedings of the International Workshop on Compiler Construction (CC-92)',,1992.0,A236B6531992,brown1992a,brown; d. f.; moura; h. and watt,"actress: an action semantics directed compiler generator,",`Proceedings of the International Workshop on Compiler Construction (CC-92)',,1992.0,A236B6531992,1.0,1.0,1,1,1
20,19,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P611B1331992,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P611B1331992,1.0,1.0,1,1,1
21,19,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P611B1331992,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P611B1331992,1.0,1.0,1,1,1
21,20,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P611B1331992,buth1992a,b. buth et. al.,"provably correct compiler implementation,",Compiler Construction,,1992.0,P611B1331992,1.0,1.0,1,1,1
30,29,dempster1977a,dempster; laird; and rubin,maximum likelihood from incomplete data via the em algorithm.,Journal of the Royal Statistical Society B,39,1977.0,M255D5121977,dempster1977a,dempster; laird; and rubin,maximum likelihood from incomplete data via the em algorithm.,Journal of the Royal Statistical Society B,39,1977.0,M255D5121977,1.0,1.0,1,1,1
32,31,dill1997a,m. dill and m.,fahle limited translation invari-ance of human visual pattern recognition.,Perception and Psychophysics (in press).,,1997.0,F445M3451997,dill1997a,m. dill and m.,fahle limited translation invari-ance of human visual pattern recognition.,Perception and Psychophysics (in press).,,1997.0,F445M3451997,1.0,1.0,1,1,1
34,33,dill1997b,m. dill and m.,fahle the role of visual field position in pattern-discrimination learning.,Proceedings of the Royal Society London B (in press).,,1997.0,F436M3451997,dill1997b,m. dill and m.,fahle the role of visual field position in pattern-discrimination learning.,Proceedings of the Royal Society London B (in press).,,1997.0,F436M3451997,1.0,1.0,1,1,1
41,40,fahle1993a,fahle; m. and edelman,"long-term learning in vernier acuity: effects of stimulus orientation, range and of feedback.",Vision Research,33,1993.0,L523F4551993,fahle1993a,fahle; m. and edelman,"long-term learning in vernier acuity: effects of stimulus orientation, range and of feedback.",Vision Research,33,1993.0,L523F4551993,1.0,1.0,1,1,1
43,42,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,1.0,1.0,1,1,1
